,Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2020-01-02,2130.0,2130.0,2012.0,2012.0,2012.0,1746
2020-01-03,2020-01-03,2100.0,2100.0,2024.0,2072.0,2072.0,1013
2020-01-06,2020-01-06,2130.0,2130.0,1982.199951,1984.0,1984.0,759
2020-01-07,2020-01-07,1964.0,1986.0,1916.0,1932.0,1932.0,1499
2020-01-08,2020-01-08,1950.0,1952.0,1826.0,1864.0,1864.0,1441
2020-01-09,2020-01-09,1798.0,1860.0,1786.0,1826.0,1826.0,1271
2020-01-10,2020-01-10,1802.0,1842.199951,1788.0,1828.0,1828.0,1012
2020-01-13,2020-01-13,1762.0,1784.0,1700.0,1700.0,1700.0,2039
2020-01-14,2020-01-14,1688.0,1752.0,1675.400024,1730.0,1730.0,2278
2020-01-15,2020-01-15,1742.0,1772.0,1706.800049,1756.0,1756.0,1797
2020-01-16,2020-01-16,1744.0,1774.0,1726.0,1728.0,1728.0,1243
2020-01-17,2020-01-17,1716.0,1740.599976,1701.0,1704.0,1704.0,1765
2020-01-21,2020-01-21,1704.0,1725.800049,1684.0,1684.0,1684.0,1941
2020-01-22,2020-01-22,1646.0,1697.800049,1628.0,1680.0,1680.0,2264
2020-01-23,2020-01-23,1706.0,1727.400024,1646.199951,1653.0,1653.0,1447
2020-01-24,2020-01-24,1644.0,1752.0,1634.0,1718.0,1718.0,3855
2020-01-27,2020-01-27,1900.0,1914.0,1808.0,1844.0,1844.0,3880
2020-01-28,2020-01-28,1772.0,1808.0,1722.800049,1736.0,1736.0,2951
2020-01-29,2020-01-29,1696.0,1744.0,1674.0,1700.0,1700.0,3442
2020-01-30,2020-01-30,1736.0,1748.0,1671.0,1672.0,1672.0,2988
2020-01-31,2020-01-31,1642.0,1740.0,1642.0,1702.0,1702.0,2833
2020-02-03,2020-02-03,1668.0,1668.0,1468.0,1474.0,1474.0,5376
2020-02-04,2020-02-04,1320.0,1378.0,1214.0,1296.0,1296.0,8666
2020-02-05,2020-02-05,1294.0,1452.0,1294.0,1417.0,1417.0,6700
2020-02-06,2020-02-06,1392.0,1408.0,1272.0,1314.0,1314.0,4327
2020-02-07,2020-02-07,1360.0,1369.0,1328.0,1350.0,1350.0,3636
2020-02-10,2020-02-10,1330.0,1336.0,1287.199951,1301.0,1301.0,1994
2020-02-11,2020-02-11,1272.0,1303.0,1242.199951,1290.0,1290.0,2642
2020-02-12,2020-02-12,1256.0,1256.0,1224.0,1230.0,1230.0,2389
2020-02-13,2020-02-13,1280.0,1284.0,1190.0,1215.0,1215.0,3666
2020-02-14,2020-02-14,1208.0,1210.0,1172.0,1200.0,1200.0,2738
2020-02-18,2020-02-18,1194.0,1194.0,1124.0,1125.0,1125.0,4718
2020-02-19,2020-02-19,1074.0,1083.0,1034.0,1046.0,1046.0,3834
2020-02-20,2020-02-20,1058.0,1148.0,1050.0,1082.0,1082.0,8759
2020-02-21,2020-02-21,1102.0,1170.0,1094.0,1148.0,1148.0,7117
2020-02-24,2020-02-24,1320.0,1362.0,1276.0,1322.0,1322.0,12468
2020-02-25,2020-02-25,1282.0,1446.0,1260.0,1432.0,1432.0,19882
2020-02-26,2020-02-26,1420.0,1441.0,1320.0,1408.0,1408.0,13254
2020-02-27,2020-02-27,1550.0,1654.0,1470.0,1650.0,1650.0,20637
2020-02-28,2020-02-28,1862.0,1864.800049,1592.0,1600.0,1600.0,13889
2020-03-02,2020-03-02,1458.0,1592.0,1374.800049,1374.800049,1374.800049,9220
2020-03-03,2020-03-03,1280.0,1530.0,1278.0,1456.0,1456.0,14950
2020-03-04,2020-03-04,1386.0,1448.0,1328.0,1328.0,1328.0,13120
2020-03-05,2020-03-05,1422.0,1474.0,1350.0,1442.0,1442.0,15923
2020-03-06,2020-03-06,1580.0,1652.0,1530.0,1561.400024,1561.400024,13707
2020-03-09,2020-03-09,1718.0,2000.0,1710.0,1884.0,1884.0,9736
2020-03-10,2020-03-10,1632.0,1840.0,1572.0,1632.0,1632.0,6459
2020-03-11,2020-03-11,1630.0,1842.0,1630.0,1750.0,1750.0,6993
2020-03-12,2020-03-12,2122.0,2310.0,1994.0,2292.0,2292.0,7407
2020-03-13,2020-03-13,1882.0,2400.0,1860.0,1892.0,1892.0,4512
2020-03-16,2020-03-16,2492.0,2620.0,2182.600098,2620.0,2620.0,4783
2020-03-17,2020-03-17,2434.0,2830.0,2066.0,2310.0,2310.0,3890
2020-03-18,2020-03-18,2700.0,2932.0,2420.0,2700.0,2700.0,4664
2020-03-19,2020-03-19,2700.0,2720.0,1942.0,2240.0,2240.0,3772
2020-03-20,2020-03-20,1932.0,2363.0,1910.0,2354.0,2354.0,4709
2020-03-23,2020-03-23,2358.0,2510.0,2159.199951,2202.0,2202.0,3102
2020-03-24,2020-03-24,1836.0,1934.0,1700.0,1710.0,1710.0,4065
2020-03-25,2020-03-25,1680.0,1814.0,1542.0,1752.0,1752.0,5253
2020-03-26,2020-03-26,1702.0,1704.0,1570.599976,1626.0,1626.0,4544
