,Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,2020-01-02,62.119999,65.209999,62.080002,65.209999,65.209999,155900
2020-01-03,2020-01-03,63.0,64.747002,62.651001,63.32,63.32,190100
2020-01-06,2020-01-06,61.389999,65.904999,61.240002,65.879997,65.879997,175300
2020-01-07,2020-01-07,66.800003,68.074997,65.660004,67.279999,67.279999,206300
2020-01-08,2020-01-08,67.309998,71.209999,67.110001,69.900002,69.900002,242700
2020-01-09,2020-01-09,72.75,72.82,70.099998,71.559998,71.559998,233400
2020-01-10,2020-01-10,72.309998,72.779999,70.769997,71.470001,71.470001,189300
2020-01-13,2020-01-13,74.169998,76.360001,73.011002,76.360001,76.360001,249700
2020-01-14,2020-01-14,77.099998,77.477997,73.925003,74.800003,74.800003,318500
2020-01-15,2020-01-15,74.510002,75.847,73.25,73.970001,73.970001,215600
2020-01-16,2020-01-16,74.5,75.07,73.010002,75.07,75.07,162300
2020-01-17,2020-01-17,75.650002,76.0,74.449997,75.885002,75.885002,144700
2020-01-21,2020-01-21,75.139999,76.809998,75.0,76.739998,76.739998,155000
2020-01-22,2020-01-22,78.440002,79.320999,76.230003,76.955002,76.955002,203200
2020-01-23,2020-01-23,75.839996,78.480003,74.800003,78.209999,78.209999,147600
2020-01-24,2020-01-24,78.900002,79.120003,73.459999,75.32,75.32,341000
2020-01-27,2020-01-27,67.199997,71.0,66.57,69.769997,69.769997,336200
2020-01-28,2020-01-28,72.0,74.177002,70.920998,73.690002,73.690002,205800
2020-01-29,2020-01-29,75.330002,76.25,73.330002,75.089996,75.089996,163700
2020-01-30,2020-01-30,73.440002,76.519997,73.0,76.519997,76.519997,188300
2020-01-31,2020-01-31,77.32,77.582001,73.309998,74.43,74.43,152900
2020-02-03,2020-02-03,77.269997,85.344002,77.050003,85.169998,85.169998,273000
2020-02-04,2020-02-04,94.519997,100.109001,90.190002,95.099998,95.099998,398500
2020-02-05,2020-02-05,95.75,95.75,83.489998,86.220001,86.220001,550300
2020-02-06,2020-02-06,87.330002,94.949997,86.792999,92.07,92.07,211600
2020-02-07,2020-02-07,89.199997,91.345001,88.610001,90.050003,90.050003,133000
2020-02-10,2020-02-10,91.690002,93.910004,90.724998,93.029999,93.029999,188300
2020-02-11,2020-02-11,95.0,96.900002,92.807999,94.139999,94.139999,188800
2020-02-12,2020-02-12,96.330002,98.699997,96.297997,98.150002,98.150002,195100
2020-02-13,2020-02-13,94.25,101.400002,93.769997,99.699997,99.699997,209100
2020-02-14,2020-02-14,100.610001,102.709999,99.839996,100.790001,100.790001,188800
2020-02-18,2020-02-18,101.25,106.93,101.120003,106.93,106.93,241700
2020-02-19,2020-02-19,112.389999,115.400002,110.662003,114.099998,114.099998,307400
2020-02-20,2020-02-20,113.0,113.980003,103.375,110.169998,110.169998,469100
2020-02-21,2020-02-21,108.860001,109.0,101.410004,103.550003,103.550003,320100
2020-02-24,2020-02-24,86.5,91.989998,84.389999,87.799004,87.799004,638500
2020-02-25,2020-02-25,91.050003,91.879997,79.599998,81.0,81.0,684000
2020-02-26,2020-02-26,80.75,87.0,80.07,82.0,82.0,578800
2020-02-27,2020-02-27,73.309998,78.355003,67.720001,68.260002,68.260002,766000
2020-02-28,2020-02-28,59.240002,70.419998,59.080002,70.0,70.0,680200
2020-03-02,2020-03-02,76.309998,80.150002,70.400002,80.150002,80.150002,703900
2020-03-03,2020-03-03,84.599998,85.419998,70.550003,73.849998,73.849998,1011600
2020-03-04,2020-03-04,78.459999,81.239998,75.160004,80.57,80.57,375100
2020-03-05,2020-03-05,75.339996,79.734001,72.359001,73.800003,73.800003,330100
